CO_13 1.71734 1.00419	CO_13 -1.83048313741
CO_140 2.01757 1.51957	CO_140 -2.00769758691
CO_216 1.33651 0.347842	CO_216 -1.51221092538
CO_220 1.41617 0.4026	CO_220 -1.97935671091
CO_8 1.4965 0.604159	CO_8 -2.08099075125
CO_89 1.77908 0.904738	CO_89 -1.72368237082
CO_9 1.52837 1.3226	CO_9 -1.6728203095
C_115 2.34541 nan	
C_13 1.7172 nan	
C_132 1.63512 nan	
C_139 2.56156 nan	
C_140 2.01757 nan	
C_142 1.63561 nan	
C_15 2.106 nan	
C_157 1.82116 nan	
C_158 1.62722 nan	
C_165 1.41651 nan	
C_17 0.934932 nan	
C_18 2.35913 nan	
C_19 1.6089 nan	
C_203 1.73141 nan	
C_206 1.27043 nan	
C_207 1.68103 nan	
C_208 1.78878 nan	
C_209 1.56029 nan	
C_210 1.79434 nan	
C_211 1.49746 nan	
C_212 2.47747 nan	
C_213 1.85051 nan	
C_214 1.80965 nan	
C_215 1.74577 nan	
C_216 1.33621 nan	
C_217 2.29697 nan	
C_219 2.09598 nan	
C_220 1.41464 nan	
C_221 1.93754 nan	
C_222 1.04893 nan	
C_223 1.57987 nan	
C_224 1.74245 nan	
C_225 2.74728 nan	
C_226 1.9144 nan	
C_227 2.26394 nan	
C_229 2.58804 nan	
C_59 2.15436 nan	
C_68 1.87082 nan	
C_8 1.52555 nan	
C_87 2.21016 nan	
C_89 1.82618 nan	
C_9 1.66823 nan	
O_130 nan 0.846136	
O_137 nan -0.656707	
O_139 nan 0.369608	
O_147 nan -0.315886	
O_149 nan -0.150294	
O_150 nan 0.72389	
O_154 nan 0.605609	
O_155 nan -0.0526178	
O_16 nan 1.50594	
O_162 nan 0.20417	
O_164 nan 0.84978	
O_166 nan 1.21795	
O_167 nan 1.41969	
O_171 nan 1.51957	
O_174 nan 0.941765	
O_175 nan 0.843852	
O_182 nan 1.13298	
O_185 nan 0.904738	
O_186 nan 1.12174	
O_187 nan 1.3226	
O_19 nan 1.32746	
O_210 nan 0.392317	
O_226 nan -0.382607	
O_227 nan 0.454389	
O_228 nan 1.41237	
O_229 nan -0.0210407	
O_230 nan 0.62164	
O_231 nan 0.347842	
O_232 nan 1.05721	
O_234 nan 0.740026	
O_236 nan -0.083407	
O_237 nan 0.604159	
O_238 nan 0.937288	
O_239 nan 0.633629	
O_26 nan 0.533732	
O_32 nan 0.282648	
O_37 nan 0.455557	
O_38 nan -0.240163	
O_39 nan 0.29163	
O_43 nan -0.0153378	
O_45 nan 1.11539	
O_46 nan -0.144906	
O_47 nan 1.00419	
O_48 nan 0.859475	
O_6 nan 1.00098	
O_63 nan 0.81094	
O_64 nan 0.268402	
O_7 nan -0.388517	
O_72 nan 1.34232	
O_81 nan 1.07543	
O_84 nan 0.653923	
O_90 nan 0.878288	
O_95 nan 0.423893	
O_96 nan 0.4026	
