CO_140 3.28879 2.41703	CO_140 -2.03903217516
CO_220 2.04426 0.481255	CO_220 -2.01184422495
CO_8 1.98512 0.693583	CO_8 -2.06439225367
CO_89 2.91985 1.12283	CO_89 -1.78826168971
CO_9 2.37981 1.96783	CO_9 -1.73636266494
C_115 nan nan	
C_13 2.19823 nan	
C_132 2.37579 nan	
C_139 nan nan	
C_140 3.28879 nan	
C_142 1.84033 nan	
C_15 nan nan	
C_157 2.69262 nan	
C_158 1.76886 nan	
C_165 1.85504 nan	
C_17 1.60868 nan	
C_18 nan nan	
C_19 1.91776 nan	
C_203 2.21097 nan	
C_206 nan nan	
C_207 nan nan	
C_208 nan nan	
C_209 1.9171 nan	
C_210 nan nan	
C_211 nan nan	
C_212 nan nan	
C_213 nan nan	
C_214 nan nan	
C_215 nan nan	
C_216 1.84478 nan	
C_217 nan nan	
C_219 nan nan	
C_220 2.02126 nan	
C_221 2.62058 nan	
C_222 1.5244 nan	
C_223 nan nan	
C_224 nan nan	
C_225 nan nan	
C_226 nan nan	
C_227 nan nan	
C_229 nan nan	
C_59 nan nan	
C_68 nan nan	
C_8 2.06608 nan	
C_87 nan nan	
C_89 3.01783 nan	
C_9 2.84396 nan	
O_130 nan 0.878573	
O_137 nan -0.652295	
O_139 nan 0.382285	
O_147 nan -0.30753	
O_149 nan -0.133441	
O_150 nan 0.765064	
O_154 nan 0.674625	
O_155 nan -0.0366785	
O_16 nan 1.79997	
O_162 nan 0.27311	
O_164 nan 1.00622	
O_166 nan 1.83157	
O_167 nan 2.49372	
O_171 nan 2.41703	
O_174 nan 2.80607	
O_175 nan 1.03171	
O_182 nan 5.61842	
O_185 nan 1.12283	
O_186 nan 1.68529	
O_187 nan 1.96783	
O_19 nan 1.40618	
O_210 nan 0.473877	
O_226 nan -0.369994	
O_227 nan 0.54513	
O_228 nan 1.97198	
O_229 nan 0.0121121	
O_230 nan 0.705065	
O_231 nan 0.489291	
O_232 nan 1.1939	
O_234 nan 0.870956	
O_236 nan -0.0455646	
O_237 nan 0.693583	
O_238 nan 1.17309	
O_239 nan 0.834627	
O_26 nan 0.564572	
O_32 nan 0.311496	
O_37 nan 0.488453	
O_38 nan -0.236567	
O_39 nan 0.316419	
O_43 nan -0.00685645	
O_45 nan 1.19992	
O_46 nan -0.116105	
O_47 nan 1.32287	
O_48 nan 0.969517	
O_6 nan 1.11924	
O_63 nan 0.884922	
O_64 nan 0.324864	
O_7 nan -0.384812	
O_72 nan 1.43546	
O_81 nan 1.24318	
O_84 nan 0.702432	
O_90 nan 1.07063	
O_95 nan 0.657401	
O_96 nan 0.481255	
