CO_13 2.19182 1.32287	CO_13 -3
CO_140 3.28879 2.41703	CO_140 -3
CO_216 1.84478 0.489291	CO_216 -3
CO_220 1.93418 0.481255	CO_220 -3
CO_8 1.98512 0.693583	CO_8 -3
CO_89 2.44086 1.12283	CO_89 -3
CO_9 2.37981 1.96783	CO_9 -3
C_115 nan nan	C_115 -3
C_13 2.19823 nan	C_13 -3
C_132 2.37579 nan	C_132 -3
C_139 nan nan	C_139 -3
C_140 3.28879 nan	C_140 -3
C_142 1.84033 nan	C_142 -3
C_15 nan nan	C_15 -3
C_157 2.69262 nan	C_157 -3
C_158 1.76886 nan	C_158 -3
C_165 1.85504 nan	C_165 -3
C_17 1.60868 nan	C_17 -3
C_18 nan nan	C_18 -3
C_19 1.91776 nan	C_19 -3
C_203 2.21097 nan	C_203 -3
C_206 nan nan	C_206 -3
C_207 nan nan	C_207 -3
C_208 nan nan	C_208 -3
C_209 1.9171 nan	C_209 -3
C_210 nan nan	C_210 -3
C_211 nan nan	C_211 -3
C_212 nan nan	C_212 -3
C_213 nan nan	C_213 -3
C_214 nan nan	C_214 -3
C_215 nan nan	C_215 -3
C_216 1.84478 nan	C_216 -3
C_217 nan nan	C_217 -3
C_219 nan nan	C_219 -3
C_220 2.02126 nan	C_220 -3
C_221 2.62058 nan	C_221 -3
C_222 1.5244 nan	C_222 -3
C_223 nan nan	C_223 -3
C_224 nan nan	C_224 -3
C_225 nan nan	C_225 -3
C_226 nan nan	C_226 -3
C_227 nan nan	C_227 -3
C_229 nan nan	C_229 -3
C_59 nan nan	C_59 -3
C_68 nan nan	C_68 -3
C_8 2.06608 nan	C_8 -3
C_87 nan nan	C_87 -3
C_89 3.01783 nan	C_89 -3
C_9 2.84396 nan	C_9 -3
O_130 nan 0.846136	O_130 -3
O_137 nan -0.656707	O_137 -3
O_139 nan 0.369608	O_139 -3
O_147 nan -0.315886	O_147 -3
O_149 nan -0.150294	O_149 -3
O_150 nan 0.72389	O_150 -3
O_154 nan 0.605609	O_154 -3
O_155 nan -0.0526178	O_155 -3
O_16 nan 1.50594	O_16 -3
O_162 nan 0.20417	O_162 -3
O_164 nan 0.84978	O_164 -3
O_166 nan 1.21795	O_166 -3
O_167 nan 1.41969	O_167 -3
O_171 nan 1.51957	O_171 -3
O_174 nan 0.941765	O_174 -3
O_175 nan 0.843852	O_175 -3
O_182 nan 1.13298	O_182 -3
O_185 nan 0.904738	O_185 -3
O_186 nan 1.12174	O_186 -3
O_187 nan 1.3226	O_187 -3
O_19 nan 1.32746	O_19 -3
O_210 nan 0.392317	O_210 -3
O_226 nan -0.382607	O_226 -3
O_227 nan 0.454389	O_227 -3
O_228 nan 1.41237	O_228 -3
O_229 nan -0.0210407	O_229 -3
O_230 nan 0.62164	O_230 -3
O_231 nan 0.347842	O_231 -3
O_232 nan 1.05721	O_232 -3
O_234 nan 0.740026	O_234 -3
O_236 nan -0.083407	O_236 -3
O_237 nan 0.604159	O_237 -3
O_238 nan 0.937288	O_238 -3
O_239 nan 0.633629	O_239 -3
O_26 nan 0.533732	O_26 -3
O_32 nan 0.282648	O_32 -3
O_37 nan 0.455557	O_37 -3
O_38 nan -0.240163	O_38 -3
O_39 nan 0.29163	O_39 -3
O_43 nan -0.0153378	O_43 -3
O_45 nan 1.11539	O_45 -3
O_46 nan -0.144906	O_46 -3
O_47 nan 1.00419	O_47 -3
O_48 nan 0.859475	O_48 -3
O_6 nan 1.00098	O_6 -3
O_63 nan 0.81094	O_63 -3
O_64 nan 0.268402	O_64 -3
O_7 nan -0.388517	O_7 -3
O_72 nan 1.34232	O_72 -3
O_81 nan 1.07543	O_81 -3
O_84 nan 0.653923	O_84 -3
O_90 nan 0.878288	O_90 -3
O_95 nan 0.423893	O_95 -3
O_96 nan 0.4026	O_96 -3
