CO_13 2.19182 1.32287	CO_13 -1.22185
CO_140 3.28879 2.41703	CO_140 -1.22185
CO_216 1.84478 0.489291	CO_216 -1.22185
CO_220 1.93418 0.481255	CO_220 -1.22185
CO_8 1.98512 0.693583	CO_8 -1.22185
CO_89 2.44086 1.12283	CO_89 -1.22185
CO_9 2.37981 1.96783	CO_9 -1.22185
C_115 nan nan	C_115 -1.22185
C_13 2.19823 nan	C_13 -1.22185
C_132 2.37579 nan	C_132 -1.22185
C_139 nan nan	C_139 -1.22185
C_140 3.28879 nan	C_140 -1.22185
C_142 1.84033 nan	C_142 -1.22185
C_15 nan nan	C_15 -1.22185
C_157 2.69262 nan	C_157 -1.22185
C_158 1.76886 nan	C_158 -1.22185
C_165 1.85504 nan	C_165 -1.22185
C_17 1.60868 nan	C_17 -1.22185
C_18 nan nan	C_18 -1.22185
C_19 1.91776 nan	C_19 -1.22185
C_203 2.21097 nan	C_203 -1.22185
C_206 nan nan	C_206 -1.22185
C_207 nan nan	C_207 -1.22185
C_208 nan nan	C_208 -1.22185
C_209 1.9171 nan	C_209 -1.22185
C_210 nan nan	C_210 -1.22185
C_211 nan nan	C_211 -1.22185
C_212 nan nan	C_212 -1.22185
C_213 nan nan	C_213 -1.22185
C_214 nan nan	C_214 -1.22185
C_215 nan nan	C_215 -1.22185
C_216 1.84478 nan	C_216 -1.22185
C_217 nan nan	C_217 -1.22185
C_219 nan nan	C_219 -1.22185
C_220 2.02126 nan	C_220 -1.22185
C_221 2.62058 nan	C_221 -1.22185
C_222 1.5244 nan	C_222 -1.22185
C_223 nan nan	C_223 -1.22185
C_224 nan nan	C_224 -1.22185
C_225 nan nan	C_225 -1.22185
C_226 nan nan	C_226 -1.22185
C_227 nan nan	C_227 -1.22185
C_229 nan nan	C_229 -1.22185
C_59 nan nan	C_59 -1.22185
C_68 nan nan	C_68 -1.22185
C_8 2.06608 nan	C_8 -1.22185
C_87 nan nan	C_87 -1.22185
C_89 3.01783 nan	C_89 -1.22185
C_9 2.84396 nan	C_9 -1.22185
O_130 nan 0.846136	O_130 -1.22185
O_137 nan -0.656707	O_137 -1.22185
O_139 nan 0.369608	O_139 -1.22185
O_147 nan -0.315886	O_147 -1.22185
O_149 nan -0.150294	O_149 -1.22185
O_150 nan 0.72389	O_150 -1.22185
O_154 nan 0.605609	O_154 -1.22185
O_155 nan -0.0526178	O_155 -1.22185
O_16 nan 1.50594	O_16 -1.22185
O_162 nan 0.20417	O_162 -1.22185
O_164 nan 0.84978	O_164 -1.22185
O_166 nan 1.21795	O_166 -1.22185
O_167 nan 1.41969	O_167 -1.22185
O_171 nan 1.51957	O_171 -1.22185
O_174 nan 0.941765	O_174 -1.22185
O_175 nan 0.843852	O_175 -1.22185
O_182 nan 1.13298	O_182 -1.22185
O_185 nan 0.904738	O_185 -1.22185
O_186 nan 1.12174	O_186 -1.22185
O_187 nan 1.3226	O_187 -1.22185
O_19 nan 1.32746	O_19 -1.22185
O_210 nan 0.392317	O_210 -1.22185
O_226 nan -0.382607	O_226 -1.22185
O_227 nan 0.454389	O_227 -1.22185
O_228 nan 1.41237	O_228 -1.22185
O_229 nan -0.0210407	O_229 -1.22185
O_230 nan 0.62164	O_230 -1.22185
O_231 nan 0.347842	O_231 -1.22185
O_232 nan 1.05721	O_232 -1.22185
O_234 nan 0.740026	O_234 -1.22185
O_236 nan -0.083407	O_236 -1.22185
O_237 nan 0.604159	O_237 -1.22185
O_238 nan 0.937288	O_238 -1.22185
O_239 nan 0.633629	O_239 -1.22185
O_26 nan 0.533732	O_26 -1.22185
O_32 nan 0.282648	O_32 -1.22185
O_37 nan 0.455557	O_37 -1.22185
O_38 nan -0.240163	O_38 -1.22185
O_39 nan 0.29163	O_39 -1.22185
O_43 nan -0.0153378	O_43 -1.22185
O_45 nan 1.11539	O_45 -1.22185
O_46 nan -0.144906	O_46 -1.22185
O_47 nan 1.00419	O_47 -1.22185
O_48 nan 0.859475	O_48 -1.22185
O_6 nan 1.00098	O_6 -1.22185
O_63 nan 0.81094	O_63 -1.22185
O_64 nan 0.268402	O_64 -1.22185
O_7 nan -0.388517	O_7 -1.22185
O_72 nan 1.34232	O_72 -1.22185
O_81 nan 1.07543	O_81 -1.22185
O_84 nan 0.653923	O_84 -1.22185
O_90 nan 0.878288	O_90 -1.22185
O_95 nan 0.423893	O_95 -1.22185
O_96 nan 0.4026	O_96 -1.22185
