CO_13 1.71352 1.00419	CO_13 -1.28745542641
CO_140 1.51761 1.51957	CO_140 -1.3936303434
CO_216 1.33177 0.347842	CO_216 -1.0629566932
CO_220 1.38837 0.4026	CO_220 -1.9570216932
CO_8 1.49587 0.604159	CO_8 -1.21983416919
CO_89 1.71786 0.904738	CO_89 -1.26424382308
CO_9 1.41386 1.3226	CO_9 -1.40297677414
C_115 nan nan	C_115 -1.38022107322
C_13 2.19823 nan	C_13 -1.28745542641
C_132 2.37579 nan	C_132 -1.35454209722
C_139 nan nan	C_139 -1.59708728109
C_140 3.28879 nan	C_140 -1.46006669614
C_142 1.84033 nan	C_142 -1.36035272092
C_15 nan nan	C_15 -1.72886002931
C_157 2.69262 nan	C_157 -1.38962851592
C_158 1.76886 nan	C_158 -0.869332449966
C_165 1.85504 nan	C_165 -1.53153684735
C_17 1.60868 nan	C_17 -1.40371684943
C_18 nan nan	C_18 -1.42434883029
C_19 1.91776 nan	C_19 -1.33790351318
C_203 2.21097 nan	C_203 -2.01984645812
C_206 nan nan	C_206 -1.36654386567
C_207 nan nan	C_207 -1.25794005394
C_208 nan nan	C_208 -1.14486180241
C_209 1.9171 nan	C_209 -1.26548194726
C_210 nan nan	C_210 -1.34897327234
C_211 nan nan	C_211 -1.78194582904
C_212 nan nan	C_212 -1.48623873865
C_213 nan nan	C_213 -1.42602843967
C_214 nan nan	C_214 -1.40265732065
C_215 nan nan	C_215 -1.46759401121
C_216 1.84478 nan	C_216 -1.06293456375
C_217 nan nan	C_217 -1.20640492745
C_219 nan nan	C_219 -1.83956033739
C_220 2.02126 nan	C_220 -1.9570216932
C_221 2.62058 nan	C_221 -1.73665020255
C_222 1.5244 nan	C_222 -1.49999700656
C_223 nan nan	C_223 -1.16130718768
C_224 nan nan	C_224 -1.95557657055
C_225 nan nan	C_225 -1.37611618638
C_226 nan nan	C_226 -1.40079158423
C_227 nan nan	C_227 -1.80414534641
C_229 nan nan	C_229 -1.32534085756
C_59 nan nan	C_59 -1.2305551001
C_68 nan nan	C_68 -1.10370724762
C_8 2.06608 nan	C_8 -1.21921704797
C_87 nan nan	C_87 -1.30247480339
C_89 3.01783 nan	C_89 -1.26424382308
C_9 2.84396 nan	C_9 -1.40756475925
O_130 nan 0.846136	O_130 -1.24870678755
O_137 nan -0.656707	O_137 -1.08734420843
O_139 nan 0.369608	O_139 -1.35532725255
O_147 nan -0.315886	O_147 -1.34169914245
O_149 nan -0.150294	O_149 -1.41125104088
O_150 nan 0.72389	O_150 -1.41169906856
O_154 nan 0.605609	O_154 -1.43321619989
O_155 nan -0.0526178	O_155 -1.47488773983
O_16 nan 1.50594	O_16 -1.3780587701
O_162 nan 0.20417	O_162 -1.78054628329
O_164 nan 0.84978	O_164 -1.28422666159
O_166 nan 1.21795	O_166 -1.26857863458
O_167 nan 1.41969	O_167 -1.2263945214
O_171 nan 1.51957	O_171 -1.38939561407
O_174 nan 0.941765	O_174 -1.38507115841
O_175 nan 0.843852	O_175 -1.52020720275
O_182 nan 1.13298	O_182 -1.47805594206
O_185 nan 0.904738	O_185 -1.28110757859
O_186 nan 1.12174	O_186 -1.36322995186
O_187 nan 1.3226	O_187 -1.39778017876
O_19 nan 1.32746	O_19 -1.53043668152
O_210 nan 0.392317	O_210 -1.6777805399
O_226 nan -0.382607	O_226 -1.83823246183
O_227 nan 0.454389	O_227 -0.919294427742
O_228 nan 1.41237	O_228 -1.39731897677
O_229 nan -0.0210407	O_229 -1.2674566039
O_230 nan 0.62164	O_230 -1.35733119647
O_231 nan 0.347842	O_231 -1.10801988619
O_232 nan 1.05721	O_232 -1.25816443146
O_234 nan 0.740026	O_234 -1.31906143301
O_236 nan -0.083407	O_236 -1.48487720988
O_237 nan 0.604159	O_237 -1.2276053252
O_238 nan 0.937288	O_238 -1.77654862936
O_239 nan 0.633629	O_239 -1.96412468004
O_26 nan 0.533732	O_26 -1.24986813646
O_32 nan 0.282648	O_32 -1.69330414206
O_37 nan 0.455557	O_37 -1.33708941778
O_38 nan -0.240163	O_38 -1.38073530426
O_39 nan 0.29163	O_39 -1.41676281978
O_43 nan -0.0153378	O_43 -1.0456341543
O_45 nan 1.11539	O_45 -1.50959350048
O_46 nan -0.144906	O_46 -1.30397629624
O_47 nan 1.00419	O_47 -1.3198858632
O_48 nan 0.859475	O_48 -1.3308615449
O_6 nan 1.00098	O_6 -1.56842397271
O_63 nan 0.81094	O_63 -1.3259423039
O_64 nan 0.268402	O_64 -1.39172871378
O_7 nan -0.388517	O_7 -1.61991639041
O_72 nan 1.34232	O_72 -1.41393953446
O_81 nan 1.07543	O_81 -1.59230787126
O_84 nan 0.653923	O_84 -1.04668253003
O_90 nan 0.878288	O_90 -1.47343478611
O_95 nan 0.423893	O_95 -1.76274818148
O_96 nan 0.4026	O_96 -1.99678871112
