CO_13 2.19823 1.00419	CO_13 -0.512460558318
CO_140 3.28879 1.51957	CO_140 -1.37762421426
CO_216 1.84478 0.347842	CO_216 -0.629722752942
CO_220 2.02126 0.4026	CO_220 -1.46605741358
CO_8 2.06608 0.604159	CO_8 -0.508706069935
CO_89 3.01783 0.904738	CO_89 -0.626369910405
CO_9 2.84396 1.3226	CO_9 -0.694664190831
C_115 nan nan	C_115 -0.691576584083
C_13 2.19823 nan	C_13 -0.512460558318
C_132 2.37579 nan	C_132 -0.883430578388
C_139 nan nan	C_139 -1.77417139156
C_140 3.28879 nan	C_140 -1.44918302669
C_142 1.84033 nan	C_142 -1.04948989887
C_15 nan nan	C_15 -1.70639192841
C_157 2.69262 nan	C_157 -1.01702968734
C_158 1.76886 nan	C_158 -1.11680403418
C_165 1.85504 nan	C_165 -1.23060348171
C_17 1.60868 nan	C_17 -1.07783659654
C_18 nan nan	C_18 -1.22461337978
C_19 1.91776 nan	C_19 -0.995918455986
C_203 2.21097 nan	C_203 -1.78951250061
C_206 nan nan	C_206 -0.891895564748
C_207 nan nan	C_207 -0.727416708784
C_208 nan nan	C_208 -0.677628142218
C_209 1.9171 nan	C_209 -0.444147914251
C_210 nan nan	C_210 -0.572781796493
C_211 nan nan	C_211 -1.88971393638
C_212 nan nan	C_212 -0.960696629008
C_213 nan nan	C_213 -0.934116044496
C_214 nan nan	C_214 -0.949377566873
C_215 nan nan	C_215 -0.686239763667
C_216 1.84478 nan	C_216 -0.629740145681
C_217 nan nan	C_217 -0.869354185386
C_219 nan nan	C_219 -1.28216080429
C_220 2.02126 nan	C_220 -1.46605741358
C_221 2.62058 nan	C_221 -1.0546550322
C_222 1.5244 nan	C_222 -0.66685663281
C_223 nan nan	C_223 -0.628910101766
C_224 nan nan	C_224 -1.38595355108
C_225 nan nan	C_225 -1.20830555462
C_226 nan nan	C_226 -0.598797324969
C_227 nan nan	C_227 -1.13119563749
C_229 nan nan	C_229 -0.638195171816
C_59 nan nan	C_59 -1.65955866448
C_68 nan nan	C_68 -0.92180131183
C_8 2.06608 nan	C_8 -0.511857078882
C_87 nan nan	C_87 -0.902132782671
C_89 3.01783 nan	C_89 -0.626369910405
C_9 2.84396 nan	C_9 -0.695835916846
O_130 nan 0.846136	O_130 -1.00031478607
O_137 nan -0.656707	O_137 -1.50679955269
O_139 nan 0.369608	O_139 -0.759753236242
O_147 nan -0.315886	O_147 -1.27327217327
O_149 nan -0.150294	O_149 -0.761383632423
O_150 nan 0.72389	O_150 -0.759777379493
O_154 nan 0.605609	O_154 -1.2453701264
O_155 nan -0.0526178	O_155 -1.52165020183
O_16 nan 1.50594	O_16 -1.5185648134
O_162 nan 0.20417	O_162 -1.51077992688
O_164 nan 0.84978	O_164 -1.08333263341
O_166 nan 1.21795	O_166 -0.751360453041
O_167 nan 1.41969	O_167 -0.70699211518
O_171 nan 1.51957	O_171 -1.37306297347
O_174 nan 0.941765	O_174 -0.720135174692
O_175 nan 0.843852	O_175 -1.00100850432
O_182 nan 1.13298	O_182 -0.653650093079
O_185 nan 0.904738	O_185 -0.621261778085
O_186 nan 1.12174	O_186 -0.740378689766
O_187 nan 1.3226	O_187 -0.693337031773
O_19 nan 1.32746	O_19 -1.40492523112
O_210 nan 0.392317	O_210 -1.82100224936
O_226 nan -0.382607	O_226 -1.21655048337
O_227 nan 0.454389	O_227 -0.996279640631
O_228 nan 1.41237	O_228 -0.750246414367
O_229 nan -0.0210407	O_229 -0.761713811329
O_230 nan 0.62164	O_230 -0.901812133335
O_231 nan 0.347842	O_231 -0.589202167811
O_232 nan 1.05721	O_232 -0.831725106444
O_234 nan 0.740026	O_234 -0.570225210566
O_236 nan -0.083407	O_236 -0.684058847737
O_237 nan 0.604159	O_237 -0.469026698007
O_238 nan 0.937288	O_238 -1.2023047709
O_239 nan 0.633629	O_239 -1.35612650824
O_26 nan 0.533732	O_26 -0.411679100358
O_32 nan 0.282648	O_32 -1.75166974095
O_37 nan 0.455557	O_37 -0.776891265411
O_38 nan -0.240163	O_38 -0.725043717903
O_39 nan 0.29163	O_39 -0.752869168699
O_43 nan -0.0153378	O_43 -0.881658894703
O_45 nan 1.11539	O_45 -1.37459068934
O_46 nan -0.144906	O_46 -0.535453597705
O_47 nan 1.00419	O_47 -0.567609081666
O_48 nan 0.859475	O_48 -0.645588202241
O_6 nan 1.00098	O_6 -0.891032916642
O_63 nan 0.81094	O_63 -0.715426831765
O_64 nan 0.268402	O_64 -0.780224623283
O_7 nan -0.388517	O_7 -0.961295615075
O_72 nan 1.34232	O_72 -0.767859171668
O_81 nan 1.07543	O_81 -1.76868618876
O_84 nan 0.653923	O_84 -0.891729306551
O_90 nan 0.878288	O_90 -1.28191226051
O_95 nan 0.423893	O_95 -1.80462376748
O_96 nan 0.4026	O_96 -1.46935392419
