CO_13 2.19182 1.32287	CO_13 -0.938570808937
CO_140 3.28879 2.41703	CO_140 -2.34588154937
CO_216 1.84478 0.489291	CO_216 -1.14308617501
CO_220 1.93418 0.481255	CO_220 -2.09386316111
CO_8 1.98512 0.693583	CO_8 -0.991959444833
CO_89 2.44086 1.12283	CO_89 -1.05761752622
CO_9 2.37981 1.96783	CO_9 -0.970266253184
C_115 nan nan	C_115 -1.19864854616
C_13 2.19823 nan	C_13 -0.938570808937
C_132 2.37579 nan	C_132 -1.18823727507
C_139 nan nan	C_139 -3.32098662172
C_140 3.28879 nan	C_140 -2.53621147816
C_142 1.84033 nan	C_142 -1.59854113988
C_15 nan nan	C_15 -2.72047567801
C_157 2.69262 nan	C_157 -1.5952468804
C_158 1.76886 nan	C_158 -2.0388827165
C_165 1.85504 nan	C_165 -1.83503448963
C_17 1.60868 nan	C_17 -1.59898155289
C_18 nan nan	C_18 -1.87533281425
C_19 1.91776 nan	C_19 -1.4848634816
C_203 2.21097 nan	C_203 -3.0538800646
C_206 nan nan	C_206 -1.25227113448
C_207 nan nan	C_207 -1.51346447333
C_208 nan nan	C_208 -1.53474870591
C_209 1.9171 nan	C_209 -0.721923576196
C_210 nan nan	C_210 -0.84481100809
C_211 nan nan	C_211 -3.60622507555
C_212 nan nan	C_212 -1.39743578584
C_213 nan nan	C_213 -1.39906465356
C_214 nan nan	C_214 -1.34698914504
C_215 nan nan	C_215 -0.885600963131
C_216 1.84478 nan	C_216 -1.14312529263
C_217 nan nan	C_217 -1.62065132153
C_219 nan nan	C_219 -1.74868049265
C_220 2.02126 nan	C_220 -2.09386316111
C_221 2.62058 nan	C_221 -1.16828663116
C_222 1.5244 nan	C_222 -0.866552053318
C_223 nan nan	C_223 -1.06210119459
C_224 nan nan	C_224 -1.92547945838
C_225 nan nan	C_225 -1.79023043852
C_226 nan nan	C_226 -0.790338870214
C_227 nan nan	C_227 -1.67488273626
C_229 nan nan	C_229 -1.04725844306
C_59 nan nan	C_59 -2.91768668805
C_68 nan nan	C_68 -1.61472473706
C_8 2.06608 nan	C_8 -0.99853807232
C_87 nan nan	C_87 -1.52528078953
C_89 3.01783 nan	C_89 -1.05761752622
C_9 2.84396 nan	C_9 -0.985176797386
O_130 nan 0.846136	O_130 -2.17009896336
O_137 nan -0.656707	O_137 -2.34898224849
O_139 nan 0.369608	O_139 -1.07712208367
O_147 nan -0.315886	O_147 -2.0422912482
O_149 nan -0.150294	O_149 -1.02577189489
O_150 nan 0.72389	O_150 -1.02454638004
O_154 nan 0.605609	O_154 -2.22153259842
O_155 nan -0.0526178	O_155 -2.63668518691
O_16 nan 1.50594	O_16 -2.79893696395
O_162 nan 0.20417	O_162 -2.04032139007
O_164 nan 0.84978	O_164 -1.6816505954
O_166 nan 1.21795	O_166 -1.12203614605
O_167 nan 1.41969	O_167 -1.50554855824
O_171 nan 1.51957	O_171 -2.33374970139
O_174 nan 0.941765	O_174 -1.34095345438
O_175 nan 0.843852	O_175 -1.4450403546
O_182 nan 1.13298	O_182 -0.832253356775
O_185 nan 0.904738	O_185 -1.04036533314
O_186 nan 1.12174	O_186 -1.21608602047
O_187 nan 1.3226	O_187 -0.953377779649
O_19 nan 1.32746	O_19 -2.10243566867
O_210 nan 0.392317	O_210 -3.91298141303
O_226 nan -0.382607	O_226 -1.31112556765
O_227 nan 0.454389	O_227 -1.6774361269
O_228 nan 1.41237	O_228 -1.02393442392
O_229 nan -0.0210407	O_229 -1.15326694506
O_230 nan 0.62164	O_230 -1.48284906054
O_231 nan 0.347842	O_231 -1.05745170735
O_232 nan 1.05721	O_232 -1.33207348213
O_234 nan 0.740026	O_234 -1.01093185262
O_236 nan -0.083407	O_236 -0.883559115526
O_237 nan 0.604159	O_237 -0.909117469081
O_238 nan 0.937288	O_238 -1.66252712373
O_239 nan 0.633629	O_239 -2.03841199446
O_26 nan 0.533732	O_26 -0.793722456023
O_32 nan 0.282648	O_32 -3.01287032639
O_37 nan 0.455557	O_37 -1.22256202817
O_38 nan -0.240163	O_38 -1.0601669295
O_39 nan 0.29163	O_39 -1.02733112331
O_43 nan -0.0153378	O_43 -1.4651252075
O_45 nan 1.11539	O_45 -1.87264529852
O_46 nan -0.144906	O_46 -0.906973480043
O_47 nan 1.00419	O_47 -0.983696526951
O_48 nan 0.859475	O_48 -1.38610857848
O_6 nan 1.00098	O_6 -1.67035304595
O_63 nan 0.81094	O_63 -1.70129815797
O_64 nan 0.268402	O_64 -1.82674341334
O_7 nan -0.388517	O_7 -1.82500113558
O_72 nan 1.34232	O_72 -1.42873025385
O_81 nan 1.07543	O_81 -3.69316271016
O_84 nan 0.653923	O_84 -1.40587791661
O_90 nan 0.878288	O_90 -2.24491944925
O_95 nan 0.423893	O_95 -3.384695569
O_96 nan 0.4026	O_96 -2.09047939533
