CO_13 2.19182 1.32287	CO_13 -0.477489600189
CO_140 3.28879 2.41703	CO_140 -1.08896566205
CO_216 1.84478 0.489291	CO_216 -0.49686822973
CO_220 1.93418 0.481255	CO_220 -1.50825532981
CO_8 1.98512 0.693583	CO_8 -0.341854579036
CO_89 2.44086 1.12283	CO_89 -0.675061697384
CO_9 2.37981 1.96783	CO_9 -0.677139912781
C_115 nan nan	C_115 -0.63348695236
C_13 2.19823 nan	C_13 -0.477489600189
C_132 2.37579 nan	C_132 -0.430225730515
C_139 nan nan	C_139 -4.96571994509
C_140 3.28879 nan	C_140 -1.35989910143
C_142 1.84033 nan	C_142 -1.1542202012
C_15 nan nan	C_15 -0.924752934413
C_157 2.69262 nan	C_157 -0.0863068246416
C_158 1.76886 nan	C_158 -0.223727229569
C_165 1.85504 nan	C_165 -0.203906359867
C_17 1.60868 nan	C_17 -1.39885874944
C_18 nan nan	C_18 -1.59642278763
C_19 1.91776 nan	C_19 -0.959404972373
C_203 2.21097 nan	C_203 -6.8233734725
C_206 nan nan	C_206 -0.661904675703
C_207 nan nan	C_207 -0.965604856329
C_208 nan nan	C_208 -0.594357214735
C_209 1.9171 nan	C_209 -0.185588148435
C_210 nan nan	C_210 -0.845944215381
C_211 nan nan	C_211 -7.41777133942
C_212 nan nan	C_212 -0.357349785338
C_213 nan nan	C_213 -0.265997920723
C_214 nan nan	C_214 -1.28066078945
C_215 nan nan	C_215 -1.41893471108
C_216 1.84478 nan	C_216 -0.496838066181
C_217 nan nan	C_217 -0.778510722849
C_219 nan nan	C_219 -0.534347304547
C_220 2.02126 nan	C_220 -1.50825532981
C_221 2.62058 nan	C_221 -1.07351786199
C_222 1.5244 nan	C_222 -1.27256254552
C_223 nan nan	C_223 -0.587959608162
C_224 nan nan	C_224 -1.10882537009
C_225 nan nan	C_225 -1.48727737569
C_226 nan nan	C_226 -1.20181748332
C_227 nan nan	C_227 -0.928492873587
C_229 nan nan	C_229 -0.757382831625
C_59 nan nan	C_59 -0.81793681745
C_68 nan nan	C_68 -0.532802132999
C_8 2.06608 nan	C_8 -0.342794580407
C_87 nan nan	C_87 -0.751969428857
C_89 3.01783 nan	C_89 -0.675061697384
C_9 2.84396 nan	C_9 -0.721963452326
O_130 nan 0.846136	O_130 -0.576566488319
O_137 nan -0.656707	O_137 -1.11841625114
O_139 nan 0.369608	O_139 -0.290915129332
O_147 nan -0.315886	O_147 -0.620417132528
O_149 nan -0.150294	O_149 -0.386591161692
O_150 nan 0.72389	O_150 -0.396222414997
O_154 nan 0.605609	O_154 -0.152618442721
O_155 nan -0.0526178	O_155 -0.503902983494
O_16 nan 1.50594	O_16 -2.45925489727
O_162 nan 0.20417	O_162 -2.73989684996
O_164 nan 0.84978	O_164 -0.398182136102
O_166 nan 1.21795	O_166 -0.193058984822
O_167 nan 1.41969	O_167 -0.887043464979
O_171 nan 1.51957	O_171 -1.07169605385
O_174 nan 0.941765	O_174 -0.716953482479
O_175 nan 0.843852	O_175 -0.269792521863
O_182 nan 1.13298	O_182 -1.58384629091
O_185 nan 0.904738	O_185 -0.701951383249
O_186 nan 1.12174	O_186 -0.750474758148
O_187 nan 1.3226	O_187 -0.6263703935
O_19 nan 1.32746	O_19 -0.678654477927
O_210 nan 0.392317	O_210 -1.5122412973
O_226 nan -0.382607	O_226 -0.838585422607
O_227 nan 0.454389	O_227 -0.296160876751
O_228 nan 1.41237	O_228 -0.276610069415
O_229 nan -0.0210407	O_229 -0.184745264905
O_230 nan 0.62164	O_230 -0.7287558847
O_231 nan 0.347842	O_231 -0.558472134449
O_232 nan 1.05721	O_232 -0.217920204004
O_234 nan 0.740026	O_234 -0.544342958613
O_236 nan -0.083407	O_236 -1.46319269999
O_237 nan 0.604159	O_237 -0.330017524737
O_238 nan 0.937288	O_238 -0.420461154942
O_239 nan 0.633629	O_239 -1.24725253057
O_26 nan 0.533732	O_26 -0.340215936819
O_32 nan 0.282648	O_32 -5.52872612519
O_37 nan 0.455557	O_37 -0.68858534565
O_38 nan -0.240163	O_38 -0.676838194946
O_39 nan 0.29163	O_39 -0.483624283219
O_43 nan -0.0153378	O_43 -0.273648376872
O_45 nan 1.11539	O_45 -1.16078845709
O_46 nan -0.144906	O_46 -0.413310049261
O_47 nan 1.00419	O_47 -0.509038324157
O_48 nan 0.859475	O_48 -0.899441191198
O_6 nan 1.00098	O_6 -0.812322279688
O_63 nan 0.81094	O_63 -1.87949338891
O_64 nan 0.268402	O_64 -1.59517953793
O_7 nan -0.388517	O_7 -0.987261411689
O_72 nan 1.34232	O_72 -0.694928129565
O_81 nan 1.07543	O_81 -1.39430953962
O_84 nan 0.653923	O_84 -0.33532821386
O_90 nan 0.878288	O_90 -0.318589012253
O_95 nan 0.423893	O_95 -7.69651374979
O_96 nan 0.4026	O_96 -1.39005705409
