CO_13 2.19182 1.32287	CO_13 -3.28677268077
CO_140 3.28879 2.41703	CO_140 -2.42949869072
CO_216 1.84478 0.489291	CO_216 -1.61447594924
CO_220 1.93418 0.481255	CO_220 -3.82484304673
CO_8 1.98512 0.693583	CO_8 -2.96964943506
CO_89 2.44086 1.12283	CO_89 -1.8101283353
CO_9 2.37981 1.96783	CO_9 -1.88933036088
C_115 nan nan	C_115 -3.25187391552
C_13 2.19823 nan	C_13 -3.28677268077
C_132 2.37579 nan	C_132 -2.07406574488
C_139 nan nan	C_139 -4.43981199946
C_140 3.28879 nan	C_140 -2.53202980744
C_142 1.84033 nan	C_142 -6.50284950881
C_15 nan nan	C_15 -3.73491914489
C_157 2.69262 nan	C_157 -2.6705460889
C_158 1.76886 nan	C_158 -3.06335862743
C_165 1.85504 nan	C_165 -3.93517495119
C_17 1.60868 nan	C_17 -5.7799956458
C_18 nan nan	C_18 -8.60705710644
C_19 1.91776 nan	C_19 -4.84625005899
C_203 2.21097 nan	C_203 -4.62990180625
C_206 nan nan	C_206 -3.12432543437
C_207 nan nan	C_207 -3.45363294404
C_208 nan nan	C_208 -3.26954142509
C_209 1.9171 nan	C_209 -1.81403467178
C_210 nan nan	C_210 -1.86721903748
C_211 nan nan	C_211 -6.09362810629
C_212 nan nan	C_212 -2.28147380457
C_213 nan nan	C_213 -2.23681709914
C_214 nan nan	C_214 -4.63310146728
C_215 nan nan	C_215 -2.98270694564
C_216 1.84478 nan	C_216 -1.61445105484
C_217 nan nan	C_217 -2.8086947274
C_219 nan nan	C_219 -2.85735221686
C_220 2.02126 nan	C_220 -3.82484304673
C_221 2.62058 nan	C_221 -7.5311831014
C_222 1.5244 nan	C_222 -4.06067507121
C_223 nan nan	C_223 -1.77318546987
C_224 nan nan	C_224 -3.71147621627
C_225 nan nan	C_225 -6.9934726438
C_226 nan nan	C_226 -2.65507093092
C_227 nan nan	C_227 -2.98859681878
C_229 nan nan	C_229 -1.87165618563
C_59 nan nan	C_59 -11.2548553603
C_68 nan nan	C_68 -1.82016893695
C_8 2.06608 nan	C_8 -2.97835661594
C_87 nan nan	C_87 -2.33995258278
C_89 3.01783 nan	C_89 -1.8101283353
C_9 2.84396 nan	C_9 -1.91368301495
O_130 nan 0.846136	O_130 -3.5060302535
O_137 nan -0.656707	O_137 -5.78152366834
O_139 nan 0.369608	O_139 -2.10397059775
O_147 nan -0.315886	O_147 -2.33302781075
O_149 nan -0.150294	O_149 -1.81940459805
O_150 nan 0.72389	O_150 -1.82352643355
O_154 nan 0.605609	O_154 -2.48936890752
O_155 nan -0.0526178	O_155 -3.49597672637
O_16 nan 1.50594	O_16 -2.83544739141
O_162 nan 0.20417	O_162 -5.17908888092
O_164 nan 0.84978	O_164 -3.3130123221
O_166 nan 1.21795	O_166 -2.82883003704
O_167 nan 1.41969	O_167 -3.39663317362
O_171 nan 1.51957	O_171 -2.42296323974
O_174 nan 0.941765	O_174 -3.73880305886
O_175 nan 0.843852	O_175 -2.240836956
O_182 nan 1.13298	O_182 -3.18331515789
O_185 nan 0.904738	O_185 -1.83375756378
O_186 nan 1.12174	O_186 -1.93489349365
O_187 nan 1.3226	O_187 -1.8617472527
O_19 nan 1.32746	O_19 -2.83354075022
O_210 nan 0.392317	O_210 -11.113983013
O_226 nan -0.382607	O_226 -2.75033381768
O_227 nan 0.454389	O_227 -2.4511121674
O_228 nan 1.41237	O_228 -1.8939863794
O_229 nan -0.0210407	O_229 -3.06811186246
O_230 nan 0.62164	O_230 -2.25608214499
O_231 nan 0.347842	O_231 -1.64685266106
O_232 nan 1.05721	O_232 -4.65563544407
O_234 nan 0.740026	O_234 -3.169405887
O_236 nan -0.083407	O_236 -3.11277619998
O_237 nan 0.604159	O_237 -2.86000345371
O_238 nan 0.937288	O_238 -2.52002586211
O_239 nan 0.633629	O_239 -3.59235337639
O_26 nan 0.533732	O_26 -2.76145382361
O_32 nan 0.282648	O_32 -3.64401973839
O_37 nan 0.455557	O_37 -2.15666982625
O_38 nan -0.240163	O_38 -2.03029024687
O_39 nan 0.29163	O_39 -1.86630224854
O_43 nan -0.0153378	O_43 -2.46546879661
O_45 nan 1.11539	O_45 -10.5312228384
O_46 nan -0.144906	O_46 -2.81489937192
O_47 nan 1.00419	O_47 -3.02836366494
O_48 nan 0.859475	O_48 -5.08561505408
O_6 nan 1.00098	O_6 -3.48645267488
O_63 nan 0.81094	O_63 -7.38344786938
O_64 nan 0.268402	O_64 -7.8929952595
O_7 nan -0.388517	O_7 -3.69730333345
O_72 nan 1.34232	O_72 -3.75687420884
O_81 nan 1.07543	O_81 -11.0951059468
O_84 nan 0.653923	O_84 -2.68254740825
O_90 nan 0.878288	O_90 -2.62641535978
O_95 nan 0.423893	O_95 -3.5515001103
O_96 nan 0.4026	O_96 -3.8775260586
