NEW_ID	MIN	MAX	RANGE	MEAN	STD	Ro_min	Ro_max
8	0.603886783	1.744711041	1.140824258	1.171290566	0.329847547	4	19
13	0.046142802	6.718972683	6.672829881	2.752684026	1.495591493	10.1	52.1
89	9.017756462	11.1120491	2.094292641	10.34481272	0.525838164	8	119.5
215	0.532022238	6.198928356	5.666906118	1.630575855	1.167428898	13.6	55.7
219	0.500895739	2.87795043	2.377054691	1.334274537	0.54703365	8.7	124.7
220	0.056631386	0.143753946	0.08712256	0.091479418	0.010804096	2.5	25
224	0.031533387	1.004420757	0.972887371	0.252594191	0.183357922	5.5	55.3
16	0.181474045	3.494739532	3.313265488	1.709587594	0.874380296	32.1	364.4
9	6.309287548	8.385930061	2.076642513	7.394498061	0.538079112	21	37.9
42	0.205382943	27.63297653	27.42759359	9.714541548	5.870955432	2	17.7
171	0.465934545	8.854416847	8.388482302	3.224760451	1.136737365	33.1	97.9
